,"All people","All people","All people","All people","All people","All people","All people","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Africa","Africa","Africa","Africa","Africa","Africa","Africa","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other"
,"All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated"
"S00139338",138,99,26,-,6,4,3,133,96,26,-,6,2,3,131,94,26,-,6,2,3,23,16,1,-,5,2,-,1,-,-,-,1,-,-,107,78,25,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-
"S00139339",102,86,6,2,1,2,5,100,84,6,2,1,2,5,96,82,6,2,-,2,4,7,4,-,2,-,-,-,1,1,-,-,-,-,-,88,77,6,-,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,-,-,1,-,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139340",180,102,51,7,2,1,17,179,101,51,7,2,1,17,175,101,51,3,2,1,17,19,13,-,-,2,-,1,1,1,-,-,-,-,2,156,88,49,3,-,1,15,1,1,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,3,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139341",145,76,45,8,13,-,9,135,72,41,4,13,-,6,128,70,41,4,10,-,5,24,12,1,-,10,-,-,1,1,-,-,-,-,-,103,57,40,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,2,-,2,2,-,-,7,1,4,1,-,-,1,4,-,-,-,-,-,4,1,-,-,1,-,-,-,-,-,-,-,-,-,-
"S00139342",141,76,44,6,10,1,1,141,76,44,6,10,1,1,141,74,44,6,10,1,1,14,6,4,1,3,-,1,-,-,-,-,-,-,-,123,68,41,5,7,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139343",111,55,37,-,3,-,12,111,55,37,-,3,-,12,107,52,37,1,3,-,12,18,11,1,-,4,-,1,1,-,-,-,-,-,1,92,44,36,1,2,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139344",93,57,34,1,1,-,-,90,56,33,1,-,-,-,90,56,33,1,-,-,-,14,11,3,-,-,-,-,-,-,-,-,-,-,-,76,45,30,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,-,-,-,1,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
"S00139345",148,74,49,11,1,3,9,132,71,46,5,2,-,6,122,66,46,3,2,-,6,10,4,2,1,1,-,-,2,2,-,-,-,-,-,110,60,48,1,1,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,5,-,3,-,-,-,3,1,1,-,1,-,-,11,1,-,3,-,3,4,2,1,-,-,1,-,-,-,-,-,-,-,-,-
"S00139346",148,93,41,8,2,2,4,146,92,41,7,2,2,4,138,90,41,3,2,2,4,16,13,1,-,2,-,-,1,1,-,-,-,-,-,115,72,40,2,-,2,3,4,3,-,1,-,-,-,-,-,-,-,-,-,-,7,3,-,6,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-
"S00139347",104,60,37,2,6,-,2,101,55,33,2,5,-,2,104,58,33,2,5,-,2,7,2,1,1,5,-,-,-,-,-,-,-,-,-,93,55,29,1,2,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,-,-,-,1,-,-
"S00139348",88,45,38,-,4,-,1,88,45,38,-,4,-,1,88,45,38,-,4,-,1,6,1,3,-,-,-,-,2,2,-,-,-,-,-,82,42,35,-,4,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139349",83,59,13,-,1,-,3,80,56,13,-,1,-,3,79,52,13,-,1,-,3,8,3,1,-,1,-,-,-,-,-,-,-,-,-,68,49,16,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-
"S00139350",76,39,28,1,3,-,6,75,39,28,1,3,-,5,75,39,28,1,3,-,5,9,5,2,-,2,-,1,-,-,-,-,-,-,-,66,34,27,1,1,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-
"S00139351",116,60,40,3,6,-,7,114,58,40,3,6,-,7,110,57,40,1,6,-,6,13,7,4,-,3,-,1,-,-,-,-,-,-,-,97,50,38,1,3,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-
"S00139352",105,58,16,6,7,-,17,101,57,16,5,6,-,16,93,55,16,3,6,-,16,18,8,-,-,6,-,5,-,-,-,-,-,-,-,77,46,15,3,-,-,12,1,-,1,-,-,-,-,-,-,-,-,-,-,-,4,2,-,2,-,-,-,2,-,-,1,1,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-
"S00139353",88,60,16,5,4,-,9,88,60,16,5,4,-,9,86,56,16,5,2,-,9,10,8,-,-,2,-,-,-,-,-,-,-,-,-,75,47,16,5,-,-,9,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139354",145,97,14,4,20,-,10,139,94,13,4,18,-,10,129,90,13,1,18,-,10,21,10,-,-,9,-,2,3,1,-,-,-,-,1,110,80,13,1,9,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,1,-,2,-,-,-,3,3,2,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,1,-,-,1,-,-,1,-,-,-
"S00139355",186,118,39,13,4,1,9,182,117,36,12,4,1,10,177,115,36,11,3,1,9,19,9,1,5,2,-,4,6,4,-,3,-,-,-,151,98,37,3,1,-,7,1,-,-,-,-,1,-,-,-,-,-,-,-,-,8,2,-,1,1,-,1,-,-,-,-,-,-,-,2,1,-,2,-,-,-,2,-,1,-,-,-,2,-,-,-,-,-,-,-
"S00139356",110,62,38,4,2,3,4,105,62,38,-,2,1,4,100,62,38,-,1,1,4,9,6,2,-,-,-,1,2,2,-,-,-,-,-,90,51,36,-,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,4,-,-,1,-,-,-,-,-,-,-,-,-,5,-,-,4,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139357",151,104,17,3,11,-,15,144,102,17,3,11,-,15,135,96,17,1,11,-,15,28,20,-,-,6,-,2,2,2,-,-,-,-,-,105,74,17,1,2,-,12,3,-,-,-,1,-,1,-,-,-,-,-,-,-,10,6,-,2,2,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-
"S00139358",87,55,22,2,8,-,1,85,55,18,2,7,-,1,83,54,18,2,7,-,1,16,14,1,-,4,-,-,2,-,-,2,-,-,-,66,41,17,-,5,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-
"S00139359",128,68,34,5,2,-,13,127,68,34,5,2,-,14,121,70,33,4,2,-,14,14,6,-,-,2,-,8,2,2,-,4,-,-,-,102,61,33,2,-,-,5,-,-,-,-,-,-,-,1,1,-,-,-,-,-,6,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-
"S00139360",142,55,51,6,11,1,12,135,55,49,6,10,-,12,125,54,49,4,8,-,10,12,5,3,1,3,-,-,2,1,-,-,-,-,1,110,48,46,3,4,-,12,1,-,-,-,1,-,-,-,-,-,-,-,-,-,8,2,-,2,1,-,3,1,-,1,-,-,-,-,1,-,-,-,-,1,-,2,-,-,-,2,-,-,1,-,1,-,-,-,-
"S00139361",100,55,35,4,-,3,2,100,53,34,4,-,3,2,91,53,34,-,-,3,1,10,9,2,-,-,-,-,-,-,-,-,-,-,-,80,44,35,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,1,-,-,-,-
"S00139362",137,72,37,8,8,7,7,132,72,37,4,8,7,6,124,68,37,3,6,7,4,18,11,2,2,4,-,-,3,3,-,-,-,-,-,103,54,35,2,2,7,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,4,-,2,2,-,1,-,-,-,-,-,-,-,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139363",174,119,31,3,5,4,12,172,118,31,3,5,4,12,170,116,31,3,5,4,12,26,15,3,3,5,-,2,-,-,-,-,-,-,-,138,97,28,1,-,4,10,4,3,-,-,-,-,1,-,-,-,-,-,-,-,4,4,-,-,-,-,-,2,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139364",161,114,26,3,7,2,17,155,111,26,3,7,-,12,152,107,26,1,7,-,12,29,19,2,-,5,-,2,2,2,-,-,-,-,-,122,90,19,1,2,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,2,-,-,-,1,-,-,-,-,1,-,4,3,-,-,-,1,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"S00139365",115,63,34,6,6,2,7,114,63,33,6,6,-,7,111,62,33,6,4,-,7,19,12,2,6,1,-,-,1,-,-,-,1,-,-,89,49,32,-,1,-,7,-,1,-,-,1,-,-,-,-,-,-,-,-,-,3,2,-,-,2,-,-,2,-,-,2,-,-,-,2,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139366",173,98,43,11,13,2,6,165,93,43,9,13,2,5,162,92,42,6,13,2,5,44,29,3,3,11,-,-,1,1,-,-,-,-,-,116,62,39,5,5,2,4,-,-,-,-,-,-,-,1,-,-,-,-,-,1,3,-,1,1,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,3,4,-,3,-,-,1,-,-,-,-,-,-,-
"S00139367",90,47,16,13,6,-,6,86,47,16,12,6,-,2,85,45,16,9,6,-,6,17,8,2,4,3,-,-,2,2,-,-,-,-,-,61,36,11,4,3,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,1,-,-,1,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139368",121,66,26,5,10,2,13,115,60,26,5,10,2,13,114,59,26,5,10,2,13,39,24,2,4,4,2,6,1,1,-,-,-,-,-,73,34,24,2,7,-,7,2,-,-,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,4,4,-,-,-,-,-,2,2,-,-,-,-,-,1,1,-,-,-,-,-,2,2,-,-,-,-,-
"S00139369",129,68,29,1,10,4,14,117,66,29,1,8,2,14,119,66,29,1,8,2,12,17,4,3,-,4,-,5,-,-,-,-,-,-,-,101,61,28,1,5,1,7,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,-,-,-,2,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
"S00139370",122,71,33,1,4,2,10,114,67,33,1,3,2,10,112,64,33,1,3,2,9,11,4,5,-,1,-,2,-,-,-,-,-,-,-,103,58,30,1,2,2,7,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,1,1,1,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,-,-
"S00139371",145,103,19,10,11,2,4,135,96,18,9,8,2,4,128,92,17,8,5,2,4,14,8,3,1,1,1,1,1,1,-,-,-,-,-,116,83,15,7,4,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,1,1,-,1,-,-,2,1,-,2,-,-,-,-,-,-,-,-,-,-,6,3,-,-,3,-,-,2,-,2,-,-,-,-
"S00139372",91,64,23,-,-,-,2,91,64,23,-,-,-,2,90,63,23,-,-,-,2,8,5,2,-,-,-,1,-,-,-,-,-,-,-,82,58,21,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139373",212,129,50,8,20,1,6,207,126,49,5,20,1,6,207,126,49,5,20,1,6,27,7,4,1,12,-,-,2,-,-,-,2,-,-,177,118,44,4,6,1,7,3,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,1,-,-,-,-,-,3,-,-,1,-,-,-
"S00139374",160,89,36,10,10,1,14,156,88,34,10,10,1,13,146,85,32,6,9,1,13,22,11,-,-,9,-,2,5,5,-,-,-,-,-,119,69,32,6,-,1,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,3,2,4,1,-,-,-,-,-,-,-,-,-,3,1,1,-,-,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-,-
"S00139375",193,116,43,10,10,4,14,184,113,43,6,7,4,14,183,113,43,6,7,4,14,18,12,1,2,-,-,-,1,1,-,-,-,-,-,163,100,40,4,6,4,9,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,3,1,-,-,1,-,-,4,1,-,1,2,-,-,-,-,-,-,-,-,-,4,2,-,3,-,-,-
"S00139376",127,80,21,13,6,-,6,117,78,21,7,2,-,5,114,77,22,11,2,-,5,13,8,2,1,2,-,-,1,1,-,-,-,-,-,97,68,20,7,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,1,1,1,-,-,-,-,-,-,-,-,-,-,6,-,-,3,1,-,-,3,-,-,1,-,-,1,1,1,-,-,-,-,-
"S00139377",125,82,27,-,2,2,12,124,81,27,-,2,2,12,123,81,27,-,2,2,12,7,6,1,-,-,-,-,-,-,-,-,-,-,-,116,75,26,-,2,2,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139378",147,84,43,2,4,4,13,147,84,43,2,4,4,13,142,82,43,1,3,4,9,17,5,4,-,4,5,2,1,1,-,-,-,-,-,124,76,40,1,1,2,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,2,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139379",128,78,29,7,6,-,9,128,78,29,7,6,-,9,127,77,29,7,6,-,9,12,5,2,2,4,-,-,-,-,-,-,-,-,-,115,72,28,5,4,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139380",83,51,12,4,4,1,11,80,51,12,4,-,1,10,78,51,12,3,-,1,10,8,6,-,1,-,-,-,-,-,-,-,-,-,-,70,45,12,1,-,1,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,2,-,-,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"S00139381",89,48,17,6,8,1,11,92,48,17,6,8,1,9,85,48,17,1,8,1,8,24,9,4,-,7,-,2,1,1,-,-,-,-,-,60,38,13,-,1,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139382",62,28,18,5,5,1,4,62,28,18,5,5,1,4,60,27,18,5,5,1,4,13,4,2,2,5,-,2,4,4,-,-,-,-,-,44,24,22,1,-,-,2,1,-,-,-,-,1,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139383",100,56,30,4,5,1,4,97,54,30,4,5,-,4,97,54,30,4,5,-,4,14,6,3,2,3,-,-,5,4,-,-,1,-,-,79,44,26,2,2,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"S00139384",180,88,38,10,18,1,29,176,86,38,9,18,1,28,164,82,35,8,9,1,25,33,17,4,6,6,1,3,1,1,-,-,-,-,-,124,62,32,2,6,-,22,6,6,-,-,-,-,-,-,-,-,-,-,-,-,12,4,2,1,-,-,3,2,1,-,1,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,1,-,-,-,-,-,-,-
"S00139385",65,29,16,6,6,-,11,60,25,16,6,6,-,11,61,25,16,4,6,-,10,18,8,-,4,1,-,5,1,1,-,-,-,-,-,42,19,14,2,5,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"S00139386",78,36,27,4,8,2,3,77,34,27,4,8,-,3,73,32,27,4,8,-,3,14,5,3,-,5,-,-,2,2,-,-,-,-,1,57,26,24,3,3,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,1,1,-,-,-,-,-,2,-,-,-,-,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"S00139387",66,34,15,-,6,4,8,65,32,15,-,6,4,8,65,32,15,-,6,4,8,22,6,2,-,1,3,8,2,2,-,-,-,-,-,42,23,16,-,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
"S00139388",86,42,26,2,3,1,15,87,42,26,2,3,-,15,87,42,26,2,3,-,15,15,10,6,-,2,-,1,-,-,-,-,-,-,-,69,32,21,2,2,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139389",114,65,37,-,4,1,6,112,65,36,-,4,1,5,111,65,36,1,4,1,5,9,4,1,-,2,1,2,2,2,1,-,-,-,-,100,60,34,1,1,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139390",148,88,38,7,8,1,9,146,86,35,7,7,1,9,144,86,39,7,7,1,9,30,18,6,1,3,-,2,3,-,2,2,-,-,-,111,68,32,1,1,1,8,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,3,2,1,-,-,-,-
"S00139391",122,54,44,6,13,1,5,118,51,43,6,13,1,5,117,51,43,9,13,1,5,18,7,2,3,6,-,1,-,-,-,-,-,-,-,99,43,43,4,5,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,2,-,2,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139392",127,46,50,11,10,-,6,125,46,50,10,10,-,6,123,45,50,10,11,-,6,15,4,4,2,4,-,2,3,2,1,1,-,-,-,105,40,49,7,6,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
"S00139393",120,50,41,9,8,-,12,113,48,40,7,7,-,11,112,48,40,6,7,-,11,26,17,-,1,6,-,2,3,2,1,-,-,-,-,82,32,38,4,1,-,7,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,2,1,1,-,-,-,-,4,-,-,-,1,-,2,-,-,-,-,-,-,-
"S00139394",71,27,26,2,4,-,11,67,26,26,2,4,-,9,67,26,26,2,4,-,9,7,3,1,1,2,-,-,-,-,-,-,-,-,-,57,22,23,1,2,-,9,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,3,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139395",71,35,26,3,4,1,2,70,34,26,3,4,1,2,70,34,26,3,4,1,2,19,6,5,-,3,-,-,-,-,-,-,-,-,-,54,27,21,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139396",115,68,38,2,1,5,-,115,68,38,2,1,5,-,113,68,38,5,1,5,-,10,8,1,1,-,-,-,-,-,-,-,-,-,-,103,62,37,2,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139397",89,38,37,1,7,-,5,81,37,36,1,7,-,4,82,37,35,1,5,-,4,13,8,3,-,2,-,3,2,2,-,-,-,-,-,72,31,33,1,6,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,-,2,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,1
"S00139398",79,29,35,1,7,2,5,77,29,34,1,6,2,5,73,29,34,1,6,1,5,16,8,5,-,4,-,1,-,-,-,-,-,-,-,59,23,29,1,4,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139399",150,92,45,2,-,-,10,146,90,45,2,-,-,10,146,90,45,2,-,-,10,24,14,4,1,1,-,4,3,3,-,-,-,-,-,114,75,37,1,1,-,6,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
"S00139400",96,63,19,-,6,2,6,93,63,19,-,5,-,6,93,63,19,-,5,-,6,16,6,4,-,3,-,2,-,-,-,-,-,-,-,78,57,15,-,2,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
"S00139401",176,91,60,9,7,-,9,170,89,59,9,5,-,9,167,89,57,4,5,-,9,25,16,5,1,1,-,1,3,-,1,2,-,-,-,139,74,51,3,4,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,2,1,-,-,-,3,-,-,-,3,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00139402",96,46,31,4,4,1,11,94,44,31,3,4,1,11,93,44,31,3,4,1,11,22,8,6,2,3,1,3,-,-,-,-,-,-,-,69,35,23,1,1,-,9,2,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-
"S00139403",79,31,22,6,7,2,11,79,31,22,6,7,2,11,70,28,21,3,6,2,10,22,8,2,1,6,-,5,-,-,-,-,-,-,-,48,20,19,-,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,3,1,3,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
